,name,commodity
733,ALX Resources Corp.,Nickel
734,Anglo American,Nickel
735,Aurum Discovery,Nickel
736,Balmoral Resources Ltd.,Nickel
737,BeMetals Corp.,Nickel
738,BHP,Nickel
739,Blackstone Minerals Ltd,Nickel
740,BWR Exploration Inc.,Nickel
741,Canada Nickel Company,Nickel
742,CanAlaska Uranium Ltd.,Nickel
743,Centaurus Metals Ltd,Nickel
744,Commander Resources Ltd.,Nickel
745,EMX Royalty Corp.,Nickel
746,Forum Energy Metals Corp.,Nickel
747,FPX Nickel Corp.,Nickel
748,Globex Mining Enterprises Inc.,Nickel
749,Gossan Resources Limited,Nickel
750,Grid Metals Corp.,Nickel
751,Harfang Exploration Inc.,Nickel
752,High Power Exploration,Nickel
753,Lara Exploration Ltd.,Nickel
754,Longland Resources Ltd,Nickel
755,Lundin Group,Nickel
